actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,NONBILL136,Change Endotracheal Tube,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL052,Change Feeding Instructions,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL017,Change IV Catheter,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL018,Change IV Fluids,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL130,Change IVF Additives,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL137,Change Oxygen %,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL019,Change Patient Lines,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL185,Check / Apply Figure 8 / Body Wrap,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL188,Check / Apply Tail Guard,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL020,Check / Clean Eyes,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL184,Check / Clean Pin Tracts,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL138,Check Airway,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL021,Check All Connections are Closed,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL167,Check Bandage (+/- Toes),,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL022,Check Central Line Catheter / Maintenance,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL025,Check Connections / Ports / Tubing,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL027,Check Endotracheal Tube / Maintenance,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL193,Check Esophagostomy (E-tube) Placement,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL189,Check Feet for Lesions,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL029,Check for Hotspots / Redness / Skin Irritation,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL031,Check Holter Monitor,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL032,Check Incision / Wound,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL033,Check IV Catheter / Maintenance,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL030,Check Limb,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL036,Check Nasal Cannula,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL183,Check Neuro Status,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL139,Check Oxygen Cage Soda Lime / Drip Tray,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL041,Check Oxygen Cage Temperature/Humidity,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL038,Check Pain Patch,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL039,Check Paws,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL168,Check Stay Sutures,,,,Each,Each,,no,yes,0.00%,,0,,,,
