PIMS ID,Product,Suppliers
IM112,Paper-towels Tri -Fold,Bayse Janitor Supply
PBSSNCS,PB Scissor-Style Nail Clippers (Small),Ryans Pet Supplies
IPDS5,PDS #5-O,"MWI Veterinary Supply, Patterson Veterinary Supply"
IPDS2,PDS 2-0,"MWI Veterinary Supply, Novartis Animal Health US, Patterson Veterinary Supply"
IPDS3,PDS 3/O,"MWI Veterinary Supply, Novartis Animal Health US"
IPDS4,PDS Plus 4-0 FS2,MWI Veterinary Supply
IPENRF,Pen Refill,Office Depot
PENR0518,"Penrose Drain 0.5"" x 18""",MWI Veterinary Supply
IS225A,Penrose Drain 1/4 x 18in.,MWI Veterinary Supply
IS224,Penrose Drain 3/4 x 1/2 x 12in,"Medcare Products, MWI Veterinary Supply"
IS226A,Penrose Drain 3/4 x 12in,MWI Veterinary Supply
IS226,Penrose Drain 3/4in X 18 in,MWI Veterinary Supply
PEND3818,"Penrose Drain 3/8"" x 18""",MWI Veterinary Supply
IS228,Penrose Drain 5/16in,"Medcare Products, MWI Veterinary Supply"
IS227,Penrose Drain 5/8 x 3/8 x 12in,MWI Veterinary Supply
PENTUB,"Penrose Drain 5/8"" x 12""",MWI Veterinary Supply
PENTUB58,"Penrose Drain 5/8"" x 18""",MWI Veterinary Supply
IS225,Penrose Drain 7/16 x 1/4 x 12in,"Butler Schein, Medcare Products, MWI Veterinary Supply"
IS229,Penrose Drain 7/8in,"Butler Schein, Medcare Products, MWI Veterinary Supply"
IPENS,Pens,"Office Depot, Office Product Solutions"
PERIOPRO,Periodontal Probe 3-6-9-12,Patterson Veterinary Supply
PERIELEV,Periosteal Elevator (Very Fine),Patterson Veterinary Supply
PCLSG,Pet Clean Laundry Sanitizer Gallon,Patterson Veterinary Supply
IPHPR,Pet Hair Lint Roller,"Bayse Janitor Supply, Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Veterinary Supply"
IPHRR,Pet Hair roller refills,"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Vet Webster"
POEC13,Pet Odor Exterminator Candle 13oz,Specialty Pet Products
PEDSS12,Pet-Ema DSS Syringe 12ml,MWI Veterinary Supply
PEDSS6,Pet-Ema DSS Syringe 6ml,MWI Veterinary Supply
PMBP5,petMAP BP Cuff 5cm,Patterson Veterinary Supply
PHNEC4,pH Notix Ear Cleaner 4fl oz. Bottle,"MWI Veterinary Supply, Patterson Veterinary Supply"
PHENO65I,Phenobarbital 65mg/ml 1ml Vial INJ,MWI Veterinary Supply
PHOVGK,Phovia Gel Kit,"MWI Veterinary Supply, Patterson Veterinary Supply"
IPILLG,Pill Gun,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IPS,Pill Splitter,Butler Schein
PWP4OZC,Pill Wrap Paste 4oz Container,"MWI Veterinary Supply, Patterson Veterinary Supply"
IL138,Pipettes  (Transfer Pipettes) Box 500,"Butler Schein, IDEXX Laboratories, MWI Veterinary Supply, Patterson Veterinary Supply"
IPB1/4,Plastic Bottle 1/4 oz,"Butler Schein, MWI Veterinary Supply"
IPB16,Plastic Bottle 16oz,"Butler Schein, MWI Veterinary Supply"
IPB1,Plastic Bottle 1oz,Butler Schein
IPB6,Plastic Bottle 6 oz,Patterson Vet Webster
PLASLITT,Plastic Litter 1 gallon,MWI Veterinary Supply
IPSL,Plastic splint large,Butler Schein
IPSM,Plastic splint med.,Butler Schein
IPSS,Plastic splint small,"Butler Schein, MWI Veterinary Supply"
IPVDH,Plumb's Vet Drug Handbook,John Wiley Sons
PCDJAR,Poof Chinchilla Dust 2.5LB Jar,Patterson Veterinary Supply
PSTSSM,Poole Suction Tube (Miltex),Patterson Veterinary Supply
POOPSC,Pooper Scooper Set,MWI Veterinary Supply
PORCAUD,Portable Cautery Unit Cordless,MWI Veterinary Supply
IPOCHL,Potassium Chloride 2mEq/ml (10ml) INJ,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Stokes Healthcare"
POTCH40,Potassium Chloride 2mEq/ml (20ml) INJ,"MWI Veterinary Supply, Patterson Veterinary Supply"
IPCV,Power Cord For Vetpro5000,Patterson Vet Webster
PRAZINJ,Praziquantel 56.8mg/ml INJ,MWI Veterinary Supply
I20MM,Press in Adapters 20 mm,"Patterson Vet Webster, VacRx"
I 24MM,Press in Adapters 24 mm,VacRx
I28 MM,Press In Adapters 28 mm,VacRx
PIA33,Press In Adapters 33 mm,Patterson Vet Webster
V+WNV,Prestige V+WNV 1ml Equine VX,MWI Veterinary Supply
IPP9S,Printer Paper 9500 Series,MWI Veterinary Supply
PPBM7+B,Pro Plan Bright Mind 7+ Beef 10oz,"Patterson Vet Webster, Patterson Veterinary Supply"
PPBM7+C,Pro Plan Bright Mind 7+ Turkey 10oz,"Patterson Vet Webster, Patterson Veterinary Supply"
PWPWP4.2,ProbioWrap Pill Wrap Paste 4.2oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
IPCB,Prophy Cups Dispenser,"Butler Schein, MWI Veterinary Supply"
IPC,Prophy Paste Cups,"Butler Schein, MWI Veterinary Supply"
I661,Propofol 10mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
PROPGLY,Propylene Gylcol 473ml,MWI Veterinary Supply
IODSOL32,Providone Iodine Solution 32 oz,MWI Veterinary Supply
IPA24,Puffs w/Aloe 24cs,Bayse Janitor Supply
IPLSOX,Pulse Oximeter PM60VET,Patterson Vet Webster
PROPCN,Purina CN Canine/Feline Can,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IENK9LFC,Purina EN K-9 Low Fat 13.4oz Can,Patterson Veterinary Supply
IENK9LF,Purina EN K-9 Low Fat 6#,Patterson Veterinary Supply
PURDM10,Purina Feline DM 10# Bag,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
IDMFC,Purina Feline DM 5.5oz Can,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
DMFCSSG,Purina Feline DM SS w/Gravy 5.5oz Can,"MWI Veterinary Supply, Patterson Veterinary Supply"
IPFENC,Purina Feline EN 5.5oz Can,"Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
PENF,Purina Feline EN 6# bag,"Patterson Vet Webster, Patterson Veterinary Supply"
IPFHA8,Purina Feline HA 8# bag,MWI Veterinary Supply
PFNFAC,Purina Feline NF Advanced Care 5.5 oz,Patterson Veterinary Supply
PFNFA8,Purina Feline NF Advanced Care 8#,Patterson Veterinary Supply
IPFOMC,Purina Feline OM 5.5oz Can,"Patterson Veterinary Supply, Purina Pet Care MWI"
IPFOM6,Purina Feline OM 6# bag,"MWI Veterinary Supply, Purina Pet Care MWI"
IPFURC,Purina Feline UR 5.5oz Can,"Patterson Veterinary Supply, Purina Pet Care MWI"
IPFUR6,Purina Feline UR 6# Bag,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
PBMCR30,Purina K9 Bright Minds 7+ Chik/Rice 30lb,Patterson Veterinary Supply
PURCC,Purina K9 CC 13.4oz Can,Patterson Veterinary Supply
PURCC8,Purina K9 CC 8# bag,Patterson Veterinary Supply
IPKENC,Purina K9 EN 13.4oz Can,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
IENK96,Purina K9 EN 6# bag,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
PCHA6,Purina K9 HA 6# bag,"Patterson Veterinary Supply, Purina Pet Care MWI"
PURHA13,Purina K9 HA Chicken 13.3 oz Can,Patterson Veterinary Supply
IPKNC11,Purina K9 NC 11# Bag,"MWI Veterinary Supply, Patterson Veterinary Supply"
PK9NC25,Purina K9 NC 25# Bag,Patterson Veterinary Supply
IPKNC6,Purina K9 NC 6# Bag,"MWI Veterinary Supply, Patterson Veterinary Supply"
IPKNFC,Purina K9 NF 13.4oz Can,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
IPKNF6,Purina K9 NF 6# bag,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
IPKOMC,Purina K9 OM 13.3oz can,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
IPKOM6,Purina K9 OM 6# bag,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Purina Pet Care MWI"
IPKURC,Purina K9 UR 13.3oz Can,"Patterson Veterinary Supply, Purina Pet Care MWI"
PKUR6,Purina K9 UR 6# Bag,"Patterson Vet Webster, Patterson Veterinary Supply"
PPPBM16,Purina Pro Plan Bright Mind 7+ C&R 16lb,Patterson Veterinary Supply
IPZIS,PZI Insulin Syringes 40U 1/2cc Cat,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
QM2XL,Quick Muzzle 2XL,Patterson Veterinary Supply
QM3XL,Quick Muzzle 3XL,Patterson Veterinary Supply
QM4XL,Quick Muzzle 4XL,Patterson Veterinary Supply
QM5XL,Quick Muzzle 5XL,Patterson Veterinary Supply
QMLS3,Quick Muzzle Long Snout (Set of 3),Patterson Veterinary Supply
IQSFL,Quick Splint Front Large,"Butler Schein, MWI Veterinary Supply"
IQSFS,Quick splint Front Small,"Butler Schein, MWI Veterinary Supply"
IQSM,Quick Splint Med,"Butler Schein, MWI Veterinary Supply"
IQSRL,Quick Splint Rear Large,MWI Veterinary Supply
IQSRS,Quick Splint Rear Small,MWI Veterinary Supply
RTRING,Rabies Ring,National Band Tag
RT,Rabies Tag - Large,"MWI Veterinary Supply, National Band Tag, Patterson Vet Webster"
RTM,Rabies Tag - Mini,"MWI Veterinary Supply, National Band Tag"
RAPCNN2,"Rapz Easy Tear Chewy No No 2""","MWI Veterinary Supply, Patterson Veterinary Supply"
RCCL,Rear Cover for Centry Lamp,Patterson Veterinary Supply
RECLEPTO,Recombitek 4 Lepto,"Boehringer Ingelheim, Merial"
RECBORO,Recombitek Bordetella Oral,"Boehringer Ingelheim, Merial, Patterson Veterinary Supply"
RECDHPP,Recombitek C4 (DHPP),"Boehringer Ingelheim, MWI Veterinary Supply, Merial, Patterson Veterinary Supply"
DHPL+4,Recombitek C8 (DHPPL),"Boehringer Ingelheim, MWI Veterinary Supply, Merial, Patterson Veterinary Supply"
RECPL20G,Recovery Plus Liquid Feed 20gm,MWI Veterinary Supply
RVNP,Relief Valve (Neg. Pressure),Patterson Veterinary Supply
IRNJ,Resco Nail Trimmers Jumbo,"Butler Schein, MWI Veterinary Supply"
RETGEL3,"Retractor Gelpi 3 5/8""",MWI Veterinary Supply
RPSAM3,Revolution Plus 11.1 - 22# SAMPLE,Zoetis/Pfizer Inc
RPSAM2,Revolution Plus 2.8 - 5.5# SAMPLE,Zoetis/Pfizer Inc
RPSAM1,Revolution Plus 5.6 - 11# SAMPLE,Zoetis/Pfizer Inc
RRBS4OZ,Ripe Rasberry Body Spray 4 oz,Patterson Veterinary Supply
IRS,Rolling Stand,Patterson Vet Webster
111115,Royal Canin Fel Hemat/ Urine Detect 1.4o,Royal Canin USA Inc.
582904,Royal Canin Feline Early Consult 4.4#,Royal Canin USA Inc.
484288,Royal Canin Feline Gastro Fiber Resp 8.8,Royal Canin USA Inc.
442103,Royal Canin Feline Mother/BabyCat 3oz Ca,Royal Canin USA Inc.
41006,Royal Canin Feline Mother/BabyCat 5.8oz,Royal Canin USA Inc.
42307,Royal Canin Feline Mother/BabyCat 7lb Ba,Royal Canin USA Inc.
583703,Royal Canin Feline Multi Ren + HP 6.6# B,Royal Canin USA Inc.
584003,Royal Canin Feline Multi UR + Calm 6.6#,Royal Canin USA Inc.
583603,Royal Canin Feline Multi UR + Satiety 6.,Royal Canin USA Inc.
47854,Royal Canin Feline Renal Early Suppt 3oz,Royal Canin USA Inc.
582909,Royal Canin Feline Renal Early Suppt 8.8,Royal Canin USA Inc.
583566,Royal Canin Feline Renal Sup A 6.6# Bag,Royal Canin USA Inc.
44655,Royal Canin Feline Renal Sup D 3oz Can,Royal Canin USA Inc.
44821,Royal Canin Feline Renal Sup E 5.8oz Can,Royal Canin USA Inc.
583066,Royal Canin Feline Renal Sup F 6.6# Bag,Royal Canin USA Inc.
471477,Royal Canin Feline Satiety Wt Mgmt 7.7#,Royal Canin USA Inc.
44281,Royal Canin Feline Satiety Wt Mgmt LIS 5,Royal Canin USA Inc.
302810,Royal Canin Feline Select Pro PD 5.9oz C,Royal Canin USA Inc.
441000,Royal Canin Feline Senior Consult 5.8oz,Royal Canin USA Inc.
176204,Royal Canin Feline SO MIG 3 oz,Royal Canin USA Inc.
470777,Royal Canin Feline Ur SO 7.7# Bag,"Henry Schein, Royal Canin USA Inc."
60434,Royal Canin Feline Ur SO MIG 3oz Can,Royal Canin USA Inc.
484317,Royal Canin Feline Ur SO Mod Cal 17.6# B,Royal Canin USA Inc.
484366,Royal Canin Feline Ur SO Mod Cal 6.6# B,Royal Canin USA Inc.
560877,Royal Canin Feline Ur SO Olfactory 7.7#,Royal Canin USA Inc.
469731,Royal Canin Feline/K9 ICU Recovery 8oz B,Royal Canin USA Inc.
511810,Royal Canin K9 Chihuahua Adult 10# Bag,Royal Canin USA Inc.
174970,Royal Canin K9 Chihuahua Adult LIS 3oz,Royal Canin USA Inc.
47071,Royal Canin K9 GI Lowfat 13.6oz C 47071,Royal Canin USA Inc.
483866,Royal Canin K9 GI Lowfat 6.6# Bag,Royal Canin USA Inc.
460477,Royal Canin K9 Hepatic 7.7# Bag,Royal Canin USA Inc.
460435,Royal Canin K9 Hepatic Dry 7.7 lbs,Royal Canin USA Inc.
429014,Royal Canin K9 Hepatic Loaf 14.5oz Can,Royal Canin USA Inc.
476424,Royal Canin K9 Hydro Prot Mod Cal 25.3#,Royal Canin USA Inc.
476888,Royal Canin K9 Hydro Prot Sm 8.8# Bag,Royal Canin USA Inc.
771513,Royal Canin K9 Hydro Protein 13.7oz Can,Royal Canin USA Inc.
427625,Royal Canin K9 Hydro Protein 25.3# Bag,Royal Canin USA Inc.
427677,Royal Canin K9 Hypoallergenic 7.7# Bag,Royal Canin USA Inc.
561808,Royal Canin K9 Multi Ur + Satiety 17.6#,Royal Canin USA Inc.
561835,Royal Canin K9 Multi Ur + Satiety 7.7# B,Royal Canin USA Inc.
47884,Royal Canin K9 Renal + Mob SlG 13.1oz Ca,Royal Canin USA Inc.
475855,Royal Canin K9 Renal LP Mod 5.5# Bag,Royal Canin USA Inc.
47253,Royal Canin K9 Renal Support E Loaf 13.5,Royal Canin USA Inc.
561566,Royal Canin K9 Renal Support S 6# Bag,Royal Canin USA Inc.
47263,Royal Canin K9 Renal Support T Pate 13.5,Royal Canin USA Inc.
472177,Royal Canin K9 Satiety Support 7.7# Bag,Royal Canin USA Inc.
302310,Royal Canin K9 Sel Protein PW 13.6oz Can,Royal Canin USA Inc.
563517,Royal Canin K9 Select Pro KO 17.6# Bag,Royal Canin USA Inc.
302210,Royal Canin K9 SP PR Can 13.5 oz,Royal Canin USA Inc.
499618,Royal Canin K9 Ultamino 19.8# Bag,Royal Canin USA Inc.
499689,Royal Canin K9 Ultamino 8.8# Bag,Royal Canin USA Inc.
60401,Royal Canin K9 Ur SO 13.6oz Can,Royal Canin USA Inc.
488277,Royal Canin K9 Ur SO Mod Cal 7.7# Bag,Royal Canin USA Inc.
47723,Royal Canin K9 Ur SO TSIG 12.5oz Can,Royal Canin USA Inc.
RUSRON7,"Ruskin Rongeur 7"" Curved",Patterson Veterinary Supply
ISDW,Sanicloth Disinfectant Wipes,Bayse Janitor Supply
IL140,Schirmer Tear Test,MWI Veterinary Supply
SVATK,Schuco Vac S130 Aspirator Tubing Kit,MWI Veterinary Supply
SSBDC4.6,Science Select.Bal.Diet Chinchilla 4.6lb,MWI Veterinary Supply
SCOOP5,Scoop (0.5cc),Dr Xies Jing Tang
SCOOP15,Scoop (1.5cc),Dr Xies Jing Tang
ISEC2,"Securolon #2-O FS 30""",MWI Veterinary Supply
SWS500,Shake Well Stickers 500/roll,Patterson Veterinary Supply
ISHEET,Sheet Protectors,American Animal Hospital
IDIV,Side flap divider (Client Divider),Quill Medical Arts
IS259,Silver Nitrate sticks,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
SILAAS4,Silvet Antifungal Antimicrob. Sham. 4oz,MWI Veterinary Supply
ISLD,Simoniz Lemon Liq. Laundey detergent,Bayse Janitor Supply
ST11SAMP,Simparica Trio 11 - 22# SAMPLE,Zoetis/Pfizer Inc
STSAMPLE,Simparica Trio 2.8 - 5.5# SAMPLE,Zoetis/Pfizer Inc
ST22SAMP,Simparica Trio 22 - 44# SAMPLE,Zoetis/Pfizer Inc
ST44SAMP,Simparica Trio 44 - 88# SAMPLE,Zoetis/Pfizer Inc
ST5.6SAM,Simparica Trio 5.6 - 11# SAMPLE,Zoetis/Pfizer Inc
ST88SAM,Simparica Trio 88 - 132# SAMPLE,Zoetis/Pfizer Inc
ISSRD,Skin Stapler Remover,MWI Veterinary Supply
ISSW,Skin Stapler Wide,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IBBDS,Small Animal Blood Collection Set 100 ml,Patterson Veterinary Supply
SNPROBNP,Snap Pro BNP Feline Test,IDEXX Laboratories
SSAG,Sodasorb Co2 Absorbent 5 Gallon,MWI Veterinary Supply
ISBI,Sodium Bicarb 8.4% INJ (1mEq/mL),"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ISC9,Sodium Chloride 0.9% 1 Liter,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ISECXS,Soft E Collar X-Small,"Butler Schein, MWI Veterinary Supply"
ISTSM,Soft Tissue Surgery handbook,John Wiley Sons
SOLENSIA,Solensia 7mg 1ml Vial,Zoetis/Pfizer Inc
ISPACE,Space Oragnizer,American Animal Hospital
SN22G,"Spinal Needle 22g x 2.5""",MWI Veterinary Supply
SPCARLAR,Splint Carpal Large,MWI Veterinary Supply
SPCARMED,Splint Carpal Medium,MWI Veterinary Supply
SPCARSMA,Splint Carpal Small,MWI Veterinary Supply
SPCARXL,Splint Carpal X-Large,MWI Veterinary Supply
ILSS,Sponges Lap Sterile,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ISPRAY,Spray Bottle,MWI Veterinary Supply
ISSP10,Springfusor Syringe Pump 10ml,"Mila International, Patterson Vet Webster"
IDQF,Stain Diff Quick Fixative,"Butler Schein, MWI Veterinary Supply"
ISDRR,Stain Diff Rapid Refill Kit,"MWI Veterinary Supply, Patterson Veterinary Supply"
IL173,Stain New Methylene Blue,MWI Veterinary Supply
ISS,Stain Urine Sediment  15 ml,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
SSB1PT,Stainless Steel Bowl 1PT,Patterson Vet Webster
SSB2QT,Stainless Steel Bowl 2QT,Patterson Vet Webster
SSP13Q,Stainless Steel Pail 13 Quart,Patterson Veterinary Supply
SSVTC,Statspin VT Centrifuge,Patterson Veterinary Supply
NONBILL-STELFONT,Stelfonta 1mg/ml 2 ml Vial INJ,Patterson Veterinary Supply
STELFONT,Stelfonta 1mg/ml 2 ml Vial INJ,Patterson Veterinary Supply
STDIB15,Sterile Dispensing Bottles (15 ml),Patterson Veterinary Supply
ISTRPCH,Sterile Pouches ( pk 200 ),MWI Veterinary Supply
IST100,Sterile tubing 6X100',MWI Veterinary Supply
ISWI,Sterile Water for Injection,"Butler Schein, MWI Veterinary Supply"
SWIV,Sterile Water for Injection 10ml Vial,MWI Veterinary Supply
IS269,Sterilization indicator,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ISET,Steth Ear Tip,Patterson Vet Webster
STOCK3,"Stockinet Cotton 3""x25YD",MWI Veterinary Supply
IH181,Stomach tube 1/2in,MWI Veterinary Supply
ISC3,Stopcock 3-way,"Butler Schein, MWI Veterinary Supply"
ISXHNDL,Suction Handle Yankauer,MWI Veterinary Supply
IST12,Suction Tube 12',MWI Veterinary Supply
IST6,Suction Tube 6,MWI Veterinary Supply
SCBS4OZ,Sugar Cookie Body Spray 4 oz,Patterson Veterinary Supply
SCBS8,Sugar Cookie Body Spray 8oz,Patterson Veterinary Supply
IBPC3,SunTech BP Cuff #3 (6-11cm),"Digicare Biomedical Tech, MWI Veterinary Supply"
STBPO,SunTech BP Cuff Orange (3-6cm),Digicare Biomedical Tech
ISC20,Surflash cath 20x1,"Butler Schein, MWI Veterinary Supply"
ISFC22,Surflash cath 22x1,"MWI Veterinary Supply, Patterson Veterinary Supply"
ISC24,Surflash cath 24ga,"Butler Schein, MWI Veterinary Supply"
SURC14,"Surflo Cath 14gx2""","MWI Veterinary Supply, Patterson Veterinary Supply"
SFC162,"Surflo Cath 16gx2""","MWI Veterinary Supply, Patterson Veterinary Supply"
SURC18,"Surflo Cath 18gx2""","MWI Veterinary Supply, Patterson Veterinary Supply"
ISC201,Surflo Cath 20x1x22,MWI Veterinary Supply
SURCAT20,"Surflo Cath 20x2""",MWI Veterinary Supply
ISC221,Surflo Cath 22x1x24,MWI Veterinary Supply
ISFC24,Surflo Cath 24x3/4,"MWI Veterinary Supply, Patterson Veterinary Supply"
ISGXC,Surg Gown X-Large Cotton,MWI Veterinary Supply
ISB10E,Surgery Blades #10 each,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ISB11,Surgery blades #11,MWI Veterinary Supply
ISB,Surgery bulb,"Butler Schein, MWI Veterinary Supply"
IS126,"Surgery Cap Bouffant 24"" 100/bx",MWI Veterinary Supply
ISD,Surgery Drape,"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Vet Webster"
IMASKTIE,Surgery Mask Tie,MWI Veterinary Supply
IHB,Surgical Scrub Brushes,"Butler Schein, Henry Schein, MWI Veterinary Supply"
ST4,Surgical Tiedowns (Set of 4),Patterson Veterinary Supply
ISD100,Surgidrape 100yd,MWI Veterinary Supply
SS,Suture Scissors,MWI Veterinary Supply
SPVBS4OZ,Sweet Pea & Vanilla Body Spray 4 oz,Patterson Veterinary Supply
SPBS8,Sweet Pea Body Spray 8oz,Patterson Veterinary Supply
ISR10,Syringe 10ml  (100ct),MWI Veterinary Supply
ISR100ST,Syringe 10ml  Slip Tip (100ct),MWI Veterinary Supply
ISR325,Syringe 1cc 25 X 5/8 (100ct),"Butler Schein, MWI Veterinary Supply, Medcare Products, Patterson Vet Webster, Patterson Veterinary Supply"
ISR20,Syringe 20ml,"Butler Schein, MWI Veterinary Supply, Medcare Products, Patterson Veterinary Supply"
ISR322,Syringe 3cc 22 X 3/4(100ct),"Butler Schein, MWI Veterinary Supply, Medcare Products, Patterson Vet Webster, Patterson Veterinary Supply, Zoetis/Pfizer Inc"
ISR5,Syringe 5ml,"Butler Schein, MWI Veterinary Supply"
ISR60,Syringe 60ml 25 Catheter tip,"MWI Veterinary Supply, Patterson Veterinary Supply"
PHOVIAL,System Phovia Light,Patterson Veterinary Supply
ITPD,T Pad 15X22,Patterson Vet Webster
ITPHD,T Pad H/D,Patterson Vet Webster
TCCR,TCELL Cream Refill,Bayse Janitor Supply
TCLD,TCELL Dispensor,Bayse Janitor Supply
ITS,Tearflo Strips 100,"Butler Schein, MWI Veterinary Supply"
ITP3,Telfa Pads 3-4,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ITPC,Thermometer covers,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IH192,Thermometers-rectal,"Butler Schein, MWI Veterinary Supply"
ADAPSK,Thunderease Kit (Diffuser + Refill),"MWI Veterinary Supply, Patterson Veterinary Supply"
TIGBAL4,Tiger Balm (4 Grams),Dr Xies Jing Tang
TIGAP,Tip It Guard Assorted Pack,Patterson Veterinary Supply
ITD,Tongue Depressors,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
TPVETB6,Tono-Pen VET Batteries (6 Pack),Patterson Veterinary Supply
TPTC200,Tonometer Pen Tip Covers,MWI Veterinary Supply
ITOX,Toxiban Suspension,"Butler Schein, MWI Veterinary Supply"
ITTB,Tracheal tube brushes,Butler Schein
ITRASH,Trash Liners (black) 40 X 46 (100case),"Bayse Janitor Supply, Cypress Supply Inc"
IKENI,Triamcinolone ( Kenalog ) 10mg/ml INJ,"MWI Veterinary Supply, Patterson Vet Webster"
TWGBH,Triple Wire Glove Box Holder,Patterson Veterinary Supply
TRCHGAL,TrizCHLOR 4 Shampoo (Gallon),"MWI Veterinary Supply, Patterson Veterinary Supply"
TRCHL16,TrizChlor 4 Shampoo 16 oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
TC4S8,TrizChlor 4 Shampoo 8oz,Patterson Veterinary Supply
TCTBN18,"Tru Cut Tissue Biopsy Needle 18gx4""",MWI Veterinary Supply
TCETS3CT,Tru-Cuff Endotrach. Tube Syringe 3ct,Patterson Veterinary Supply
USC1GB,Ultrasonic Cleaner 1 Gallon Basket,Patterson Vet Webster
ULTRAC16,Ultrasonic Cleaner 16oz,Patterson Veterinary Supply
UC32,Ultrasonic Cleaner 32oz,MWI Veterinary Supply
UG5LBJ,Ultrasound Gel 5 Liter Bulk Jug,Patterson Veterinary Supply
UG8OZ,Ultrasound Gel 8OZ,MWI Veterinary Supply
IUAK,Underpad Puppy Pad Kennel Pack 23x36 50c,"MWI Veterinary Supply, Patterson Veterinary Supply"
IUC3.5,Urinary Catheter 3.5FR,"Butler Schein, MWI Veterinary Supply"
IUCT,Urine Centrifuge Tubes,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
UOOSRG,Urine Off Odor/Stain Remover Gallon,"MWI Veterinary Supply, Patterson Veterinary Supply"
IUOS,Urine Off Spray (500ml) 16.9oz Bottle,"Butler Schein, MWI Veterinary Supply"
ISV,Vaginal Speculum,Patterson Vet Webster
IVMS,Vanilla Musk Spray,"Bayse Janitor Supply, MWI Veterinary Supply"
VLBS5.5,"Vantage Lister Bandage Scissors 5.5""",MWI Veterinary Supply
VRCF6.5,Vantage Rochester-Carmalt Forceps C 6.25,MWI Veterinary Supply
IYNCS,VC Yuck No Chew Spray,"MWI Veterinary Supply, Patterson Veterinary Supply"
VFSGEC10,Velfast Self Grip E-Collar 10cm,Patterson Veterinary Supply
VSGEC12,Velfast Self Grip E-Collar 12.5 cm,Patterson Veterinary Supply
VFSGE15,Velfast Self Grip E-Collar 15cm,Patterson Veterinary Supply
VFSGE20,Velfast Self Grip E-Collar 20cm,Patterson Veterinary Supply
VFEC25,Velfast Self Grip E-Collar 25cm,Patterson Veterinary Supply
VFEC30,Velfast Self Grip E-Collar 30cm,Patterson Veterinary Supply
VFSG7.5,Velfast Self Grip E-Collar 7.5cm,Patterson Veterinary Supply
VENOMVET,Venom Vet 10 ml Vial,Veterinary Emergency Clinic
IVA78,"Venoset IV Set 80""","Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
V2AMSK,Versa 2 Anesthesia Machine Service Kit,Patterson Veterinary Supply
IVKYS,Vet Kem Yard Spray Siphotrol,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
VSENOCM,Vet Sol Enzadent Oral Chews Med 18oz bag,MWI Veterinary Supply
VG+VEEEV,Vetera Gold + VEE Equine Vaccine,MWI Veterinary Supply
VGHV,Vetera Gold Horse Vaccine,MWI Veterinary Supply
IVKFSH,Vetkem Flea Shampoo,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IS287,Vetrap 2in,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IVET3,"Vetrap 3""",MWI Veterinary Supply
