PIMS ID,Product,Suppliers
ICETVEXS,CET Veggiedent Fresh (30ct Chew XS),"Henry Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
CBAC,Chamber Brite (Autoclave Cleaner),MWI Veterinary Supply
ICS4A,Chlorhexidine 4% Scrub w/ Aloe,MWI Veterinary Supply
ICHSG,Chlorhexidine Solution 2% Gallon,"MWI Veterinary Supply, Patterson Vet Webster"
IBREATH,Clean Air (Soda Sorb) Canister,MWI Veterinary Supply
ICLNCAT,Clean Catch Urine Containers,"MWI Veterinary Supply, Olympic Veterinary Corp, Patterson Veterinary Supply"
CLEV0.3,Clevor Opth. Sol. 30mg/ml 0.3ml Dropper,MWI Veterinary Supply
IFOLDER,Client Folder (e-t folder),Quill Medical Arts
ICK,Clindoral Kit Box,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
ICA5,Clipper A5 Gold,MWI Veterinary Supply
ICLBP,Clipper Battery Pack,MWI Veterinary Supply
IS130,Clipper blade #10,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IS131,Clipper blade #40,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
ICBS,Clipper Blade Service,Patterson Vet Webster
IBLADEWS,Clipper Blade Wash,MWI Veterinary Supply
ICVCL,Clipper Volt Cordless Lithium,MWI Veterinary Supply
ICAGR,Clipper-Andis Super AGR,Patterson Vet Webster
ICBC,Clorox Bowl Cleaner,Bayse Janitor Supply
ICST,Cloth Surgery Towels,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
CFFS,Clothesline Fresh Fabric Spray,Specialty Pet Products
ICDM,Complete Dustmop,Bayse Janitor Supply
CONSS,Conical Sharpening Stone,MWI Veterinary Supply
ICBP,Consil Bioglass Putty,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
ICON10,Convenia ( Cefovecin ) 80mg/ml INJ,"MWI Veterinary Supply, Patterson Veterinary Supply, Zoetis/Pfizer Inc"
