Name,Category,Secondary Category,Quantity,Ordering UoM,Last Count Date,Last Price,Total Cost
"Cytopoint: 30mg (20.1-30lb), 1 Vial (Ordered in Multiples of 10)",Pharmaceuticals,Dermatologic Preparations,0,vial,03/30/2026 15:39:56,42.10,0.00
"Cytopoint: 40mg (30.1-40lb), 1 Vial (Ordered in Multiples of 10)",Pharmaceuticals,Dermatologic Preparations,9,vial,04/21/2026 20:05:44,46.50,418.50
Dasuquin Advanced Joint Health Capsules Cat:B60,,,0,bottle,04/06/2026 20:10:58,13.85,0.00
"Dasuquin Advanced Joint Health Supplement for Large Dogs, Six 64 Count Bags (384 Soft Chews Total) ",Nutraceuticals,Joint Support,0.17,case,04/21/2026 20:30:38,199.50,33.92
"Dasuquin Advanced Joint Health Supplement for Small / Medium Dogs, Six 64 Count Bags (384 Soft Chews Total) ",Nutraceuticals,Joint Support,0.33,case,04/21/2026 20:09:58,175.20,57.82
"Datamars Microfindr Slim: Vet Pack (Pre-Loaded Implanters & Client Materials), 25 Count",Identification,Recovery Services and Microchips,0.36,box,04/06/2026 19:48:08,387.50,139.50
"Denamarin Advanced for Large Dogs, Four 30 Count Bottles (120 Chewable Tablets Total)",Nutraceuticals,S-Adenosyl,1.25,box,04/21/2026 20:08:41,212.60,265.75
"Denamarin Advanced for Small to Medium Dogs, Four 30 Count Bottles (120 Chewable Tablets Total)",Nutraceuticals,S-Adenosyl,1.75,box,04/21/2026 20:08:44,151.80,265.65
Dentahex Oral Rinse: 8oz,Pharmaceuticals,Dental Care Preparations,2,bottle,03/23/2026 18:13:19,12.18,24.36
Dental Bur Carbide Round #6:P10,,,1.9,package,04/06/2026 19:43:17,26.59,50.52
"Dental Prophy Angle, Disposable",Dentistry,Oral Exam and Cleaning,0.3,box,01/29/2026 21:01:32,49.80,14.94
Depo Medrol: 20ml (20mg/ml),Pharmaceuticals,Antiinflammatories,0.8,vial,11/21/2025 19:32:48,74.55,59.64
"Deracoxib Chewable Tablets For Dogs: 100Mg, 90 Count",Pharmaceuticals,Antiinflammatories,0.68,bottle,04/21/2026 19:59:20,159.04,108.15
"Deracoxib Chewable Tablets for Dogs: 75mg, 90 Count",Pharmaceuticals,Antiinflammatories,1.06,bottle,04/21/2026 19:56:24,131.17,139.04
DermaBenSs® Shampoo: 12oz,Pharmaceuticals,Dermatologic Preparations,2,bottle,03/10/2026 16:45:03,14.03,28.06
DermAllay Oatmeal Shampoo: 12oz,Grooming,Shampoos and Conditioners,0,bottle,03/10/2026 16:52:15,9.99,0.00
