Name,Category,Secondary Category,Quantity,Ordering UoM,Last Count Date,Last Price,Total Cost
Praziquantel Injectable: 10ml,Parasiticides,Anthelmintics,0.2,bottle,02/26/2026 21:54:17,113.15,22.63
"Prednis Prednisolone Tablets: 5mg, 1000 Count",Pharmaceuticals,Antiinflammatories,0.1,bottle,03/23/2026 19:02:29,48.68,4.87
Prednisolone Syrup: 237Ml (15Mg/5Ml),Pharmaceuticals,Antiinflammatories,0,bottle,04/21/2026 20:01:39,46.04,0.00
"Prednisone Tablets: 10Mg, 100 Count",Pharmaceuticals,Immunosuppressants,2.57,bottle,04/21/2026 19:58:03,14.98,38.50
"Prednisone Tablets: 1mg, 100 Count",Pharmaceuticals,Immunosuppressants,0.44,bottle,03/23/2026 19:02:39,3.92,1.72
"Prednisone Tablets: 20Mg, 100 Count",Pharmaceuticals,Immunosuppressants,0.96,bottle,04/21/2026 20:01:51,10.00,9.60
"Prednisone Tablets: 5Mg, 100 Count",Pharmaceuticals,Immunosuppressants,0.04,bottle,03/23/2026 16:33:21,2.71,0.11
"Primary IV Set, Macrobore Prepierced Y-Site, 80""",Administration and Transfusion,IV Sets and Connectors,8,each,03/30/2026 15:44:56,2.00,16.00
"ProbioWrap Pill Wrap Paste with Probiotics, 4.2oz",Administration and Transfusion,Medication Administration,4,each,04/21/2026 20:08:52,8.39,33.56
ProHeart 12: 10ml,Parasiticides,Heartworm Parasiticides,0.75,vial,04/21/2026 20:07:59,520.38,390.29
"Proin Chewable Tablets: 75mg, 60 Count",,,2,bottle,03/30/2026 15:07:29,37.13,74.26
"Proin Extended-Release Tablets: 145mg, 30 Count",Pharmaceuticals,"Vitamins, Minerals, and Supplements",0,bottle,04/21/2026 20:10:13,31.77,0.00
"Proin Extended-Release Tablets: 18mg, 30 Count",Pharmaceuticals,"Vitamins, Minerals, and Supplements",2,bottle,01/15/2026 20:52:24,15.21,30.42
"Proin Extended-Release Tablets: 38mg, 30 Count",Pharmaceuticals,"Vitamins, Minerals, and Supplements",1,bottle,04/21/2026 20:28:35,19.79,19.79
"Proin Extended-Release Tablets: 74mg, 30 Count",Pharmaceuticals,"Vitamins, Minerals, and Supplements",1,bottle,04/21/2026 20:10:16,26.32,26.32
Proparacaine 0.5% Ophthalmic Solution: 15ml,Pharmaceuticals,Ophth Preps and Treatments,0.75,bottle,04/21/2026 20:08:13,28.84,21.63
"Pro-Pectalin Oral Gel for Dogs and Cats, 15gm",Pharmaceuticals,Antacid and Absorbent Preps,2,syringe,04/21/2026 20:10:22,13.52,27.04
"Pro-Pectalin Oral Gel for Dogs and Cats, 30gm",Pharmaceuticals,Antacid and Absorbent Preps,0,tube,04/21/2026 20:10:24,17.30,0.00
"Pro-Pectalin Tablets for Dogs and Cats, 250 Count",Pharmaceuticals,Antacid and Absorbent Preps,0.98,bottle,04/06/2026 20:11:23,56.33,55.20
"Prophy Paste Cups Multi Flavor: Fluoride-Free, Medium Grit, 200 Count",Dentistry,Oral Exam and Cleaning,0.75,box,01/29/2026 21:02:16,37.06,27.80
"PropoFlo 28 (Propofol) Anesthetic Injection for Dogs, 50mL",Anesthesia,Anesthesia Systems,0.6,box,02/26/2026 21:27:20,72.37,43.42
"Proviable-DC Digestive Health Probiotics and Prebiotics for Dogs and Cats, 80 Sprinkle Capsules",Nutraceuticals,Probiotics,4.43,box,04/21/2026 20:06:40,30.74,136.18
"ProZinc Insulin: 10ml, U-40",Pharmaceuticals,Hormones and Analogs,1,vial,04/21/2026 20:07:32,99.46,99.46
"PureVax® Feline 3 (RCP): 0.5ml, 25 Doses",Vaccines,Vaccines and Other Biologicals,1.52,tray,04/21/2026 20:06:44,185.38,281.78
"PureVax® Feline Rabies: 0.5ml, 25 Count",Vaccines,Vaccines and Other Biologicals,1.92,tray,03/30/2026 15:09:27,403.14,774.03
"PureVax® Recombinant Leukemia: 0.5ml, 25 Count",Vaccines,Vaccines and Other Biologicals,1.32,tray,04/21/2026 20:08:16,501.56,662.06
Purina Pro Plan Veterinary Diets UR Urinary Ox/St Canine Formula 6lb 1 bag,Foods,"Diets, Therapeutic",1,bag,04/21/2026 20:11:25,-26.18,-26.18
Purina Pro Plan Veterinary Supplements Hydra Care: 2 x 12 Count Case,Pharmaceuticals,"Vitamins, Minerals, and Supplements",1.75,case,04/21/2026 20:09:04,19.98,34.97
PVC Cuffed Endotracheal Tube: 11mm,Anesthesia,Endo tubes Laryngoscopes,1,each,03/23/2026 18:15:06,9.80,9.80
Rabies Tag Alum 1100:EACH,,,1,order unit,11/14/2025 19:40:17,189.15,189.15
"Rapid Differential Stain Refill Kit, #1 Fixative/ #2 Red/ #3 Blue, 470mL Each",Diagnostics,Diagnostic Equipment,0.15,box,03/23/2026 18:50:21,48.06,7.21
Rapz Eazy Tear Cohesive Bandage Chewy NoNo 2in:PK12,,,0,package,03/23/2026 18:46:25,18.98,0.00
Rapz Eazy Tear Cohesive Bandage Natural World 2in,,,0.08,box,04/06/2026 20:58:11,17.78,1.42
"Rapz Eazy Tear Natural World Cohesive Bandage Variety Packs 4"" x 5-1/2 yd Includes Multiple Items",Wound Care and White Goods,Cohesive Bandage,0.5,box,03/10/2026 16:38:36,24.96,12.48
Recombitek® Oral Bordetella: 25 x 1 Dose,Vaccines,Vaccines and Other Biologicals,0.2,tray,04/21/2026 20:06:49,238.35,47.67
"Recombitek®: C4 DA2PPv, 25 Dose",Vaccines,Vaccines and Other Biologicals,0.64,tray,04/21/2026 20:07:36,192.86,123.43
"Recombitek®: C8 Lepto 4 + DAPPv, 25 Dose",Vaccines,Vaccines and Other Biologicals,0.12,tray,04/21/2026 20:07:02,303.07,36.37
"Recombitek®: Canine Lyme, 20 Doses",Vaccines,Vaccines and Other Biologicals,0.2,tray,04/06/2026 20:14:53,538.21,107.64
"Recombitek®: Lepto 4, 50 Dose",Vaccines,Vaccines and Other Biologicals,0.6,tray,04/21/2026 20:07:40,0.00,0.00
"Reflex One Skin Stapler, 35 Wide",Wound Closure,Staples and Ligation Clips,2,order unit,04/06/2026 19:43:36,15.20,30.40
Rejensa Supplemental Joint Care Chew for Dogs: 60 Count,Nutraceuticals,Joint Support,3,package,04/06/2026 20:11:51,64.69,194.07
Renal Essentials Pro Bite-Sized Chews: Canine/Feline 60 Count,Nutraceuticals,Renal,0,order unit,01/15/2026 20:51:53,26.17,0.00
"Renal K+ Potassium Supplement Powder, 100gm",Nutraceuticals,Renal,1,each,04/06/2026 20:11:34,20.35,20.35
"Reusable Anesthesia Breathing Bag: 0.5 Liter, 1 Each",Anesthesia,Breathing Circuit Bg Mask Hose,2,order unit,12/04/2025 16:09:49,25.92,51.84
"Revolution Plus for Cats 11.1 to 22 Pounds, Green Label (6 Dose)",Parasiticides,External/Heartworm,1.03,sleeve,04/21/2026 20:13:11,450.95,464.48
"Revolution Plus for Cats 5.6 to 11 Pounds, Orange Label (6 Dose)",Parasiticides,External/Heartworm,0.57,sleeve,04/06/2026 19:51:53,439.90,250.74
"RILEXINE® (cephalexin tablets) Chewable Tablets: 300mg, 100 Count",Pharmaceuticals,Antimicrobial Agents,0.82,bottle,04/06/2026 20:24:09,47.85,39.24
"RILEXINE® (cephalexin tablets) Chewable Tablets: 600mg, 100 Count",Pharmaceuticals,Antimicrobial Agents,1,bottle,04/06/2026 20:22:44,85.51,85.51
Salix 5% Injection: 50ml (50mg/mL),Pharmaceuticals,Diuretics,0.85,vial,03/23/2026 18:46:33,17.24,14.65
Scotch-Brite Pet Hair Pickup Lint Roller Refill,,,N/A,each,,4.02,
"Securolon: 2-0, FS, 26mm Reverse Cutting Needle, 30"", 12 Count",Wound Closure,Synthetic Non-Absorb Suture,0.16,package,03/10/2026 18:50:48,50.62,8.10
"Sedexodine (Dexmedetomidine Hydrochloride) Injectable Solution 0.5mg/mL, 10mL",Pharmaceuticals,Sedatives and Tranquilizers,1,vial,04/06/2026 19:43:13,133.20,133.20
Senvelgo (Velagliflozin) Oral Solution: 30ml,Pharmaceuticals,Endocrine Diseases,1,bottle,04/21/2026 20:01:53,175.00,175.00
Sheridan Endotracheal Tube: 7mm,Anesthesia,Endo tubes Laryngoscopes,2,order unit,04/06/2026 19:42:22,6.44,12.88
"Sildenafil Tablets: 20Mg, 90 Count",Human Generics,HUM-Not Applicable,0.67,bottle,04/21/2026 20:01:57,10.76,7.21
Silver Nitrate Applicators 6IN:P100,,,0.97,tube,03/10/2026 16:38:42,21.15,20.52
Silver Sulfadiazine Cream 1% Tube: 50g,Pharmaceuticals,Antimicrobial Agents,1,tube,01/29/2026 21:14:22,17.63,17.63
"Silver Sulfadiazine Cream 1%, 50gm Tube",Pharmaceuticals,Antimicrobial Agents,2,unit,04/21/2026 20:02:57,3.87,7.74
"Simparica Trio Chewable Tablets for Dogs 44.1 to 88 Pounds, Green Label (6 Dose x 5)",Parasiticides,Heartworm Parasiticides,0.18,sleeve,04/21/2026 20:09:20,1288.20,231.88
"Simparica TRIO Chewable Tablets: Brown, 88.1-132.0lb, 10 x 6 Dose",Parasiticides,Heartworm Parasiticides,0.82,sleeve,01/29/2026 20:53:00,1306.30,1071.17
"Simparica TRIO Chewable Tablets: Caramel, 11.1-22.0lb, 10 x 6 Dose",Parasiticides,Heartworm Parasiticides,0.08,carton,03/30/2026 15:39:13,1156.60,92.53
"Simparica TRIO Chewable Tablets: Purple, 5.6-11.0lb, 10 x 6 Dose",Parasiticides,Heartworm Parasiticides,0.17,sleeve,04/21/2026 20:10:32,1137.60,193.39
"Simparica TRIO Chewable Tablets: Teal/Blue, 22.1-44.0lb, 10 x 6 Dose",Parasiticides,Heartworm Parasiticides,0.23,carton,04/21/2026 20:09:34,1252.10,287.98
"Simplera (Florfenicol, Terbinafine, Mometasone Furoate) Otic Solution for Dogs, 1mL",Pharmaceuticals,Otic Preparations,0.5,sleeve,04/21/2026 20:31:58,125.66,62.83
Single Collection Blood Bag Prefilled CPDA-1: 250ml,Administration and Transfusion,Blood Collection and Admin,3,bag,04/06/2026 19:49:07,6.18,18.54
Single Collection Blood Bag Prefilled CPDA-1: 450ml,Administration and Transfusion,Blood Collection and Admin,2,bag,01/29/2026 20:59:28,7.37,14.74
"Skin Biopsy Punch, Disposable, 4mm ",Diagnostics Exam,Biopsy,0,each,04/21/2026 20:40:31,2.72,0.00
"Slippery Sam Tomcat Catheter: Closed End, 3.5fr x 6""",Administration and Transfusion,IV Catheters and Plugs,3,order unit,03/30/2026 15:00:55,25.46,76.38
"SodaLime Pail: 5 Gallons, 1 Each",Anesthesia,CO2 Adsorbent,0.15,bucket,04/06/2026 19:42:36,77.12,11.57
"SoftPack Monoject Syringe: 20ml, Luer Lock, 40 Count",Administration and Transfusion,Syringes and Needles,1.5,box,02/26/2026 21:54:23,24.39,36.59
"Solensia: 1ml vial, 6 Count",Pharmaceuticals,Antiinflammatories,0.33,box,04/21/2026 20:07:05,252.00,83.16
"Sovereign Sterile Feeding Tube: 12fr x 16""",Administration and Transfusion,Oral Esophageal Gastric Enterc,6,tube,01/15/2026 20:58:29,1.38,8.28
"Sovereign Sterile Feeding Tube: 5fr x 16""",Administration and Transfusion,Oral Esophageal Gastric Enterc,4,tube,02/26/2026 21:53:54,1.48,5.92
"Sovereign Sterile Feeding: 8fr x 16""",Administration and Transfusion,Oral Esophageal Gastric Enterc,5,each,02/26/2026 21:54:29,1.48,7.40
"Specialist Cast Padding: 2"" x 4yds, 24 Count",Orthopedics,Casting and Splinting,0.5,bag,03/10/2026 16:38:47,14.51,7.26
"Specialist Cast Padding: 4"" x 4yd, 12 Count",Orthopedics,Casting and Splinting,1,bag,11/08/2025 15:21:42,16.81,16.81
Spring Syringe Pump Flow Control Tubing: 10ml/4hr (2.5ml/hr),Administration and Transfusion,IV Pumps and Warmers,3,order unit,11/14/2025 19:35:10,10.25,30.75
"Stainless Steel Surgical Blade: #10, 100 Count",Surgical Instruments,Scalpels Blades Handles Knives,0.05,box,01/15/2026 21:14:14,43.65,2.18
Sterile Non-Spermicidal Lubricating Jelly: 5oz,Pharmaceuticals,Lubricants,0,tube,11/21/2025 19:33:07,2.74,0.00
"Sterile Surgical Blade, Stainless Steel, #15",,,1,box,03/30/2026 14:58:52,45.39,45.39
"Sterile Water for Injection, Diluent, 500mL",Pharmaceuticals,Sterile Water Diluent Stblzers,0.1,bottle,04/21/2026 20:41:05,3.99,0.40
Sterilization Indicator Tape 1inx50m Steam Autocla,,,0.05,order unit,01/29/2026 20:47:19,5.30,0.27
Stop Stool Eating Soft Chews for Dogs: 90 Count,Pharmaceuticals,Antimicrobial Agents,0,each,03/10/2026 16:51:11,14.43,0.00
"Stopcock 3-Way with Swivel, Male Luer Lock",Administration and Transfusion,IV Sets and Connectors,3,order unit,04/06/2026 19:49:10,0.92,2.76
"Stress Away Calming Aid for Dogs and Cats, 65 Soft Chews",Nutraceuticals,Behavior,0,order unit,04/21/2026 20:11:54,7.41,0.00
"Stretch Gauze Bandage Roll: Non-Sterile, 4""x 75"", 12 Count",Wound Care and White Goods,Gauze Bandage,0.5,Pack,11/21/2025 19:33:12,5.83,2.92
"Sucralfate Tablets: 1G, 100 Count",Pharmaceuticals,Gastric Ulcer Drugs,1.06,bottle,10/31/2025 15:45:28,20.19,21.40
Suffusion K Mousse: 6.8oz,Pharmaceuticals,Dermatologic Preparations,0,order unit,04/21/2026 20:33:25,15.14,0.00
"SurFlash IV Catheter: Blue, 22g x 1"", Each",Administration and Transfusion,IV Catheters and Plugs,0,each,04/06/2026 20:57:38,1.67,0.00
Surflo Injection Plug: Luer Lock,Administration and Transfusion,IV Catheters and Plugs,50,each,04/21/2026 20:15:05,0.63,31.50
"SurFlo Winged IV Infusion Set, Thin Wall, Blue, 23g x 0.75"" with 12"" Tubing",Administration and Transfusion,IV Sets and Connectors,12,each,04/06/2026 20:56:13,0.68,8.16
"SurFlo Winged IV Infusion Set, Thin Wall, Orange, 25g x 0.75"" with 12"" Tubing",Administration and Transfusion,IV Sets and Connectors,50,needle,04/21/2026 20:15:10,0.68,34.00
"Surgical Suction Tubing, Sterile, 0.25"" x 6'",Surgical Equipment,Suction Hoses,2,each,04/21/2026 20:39:27,1.17,2.34
"Surgical Tunnel-Belt Gown (1-Ply Reusable, Non Sterile, Green): Medium",,,N/A,order unit,,34.50,
"Sur-Vet Hypodermic Needle, Translucent Hub, Regular Wall, Yellow, 20g x 1.0""",Administration and Transfusion,Syringes and Needles,0.6,box,03/23/2026 18:46:37,7.88,4.73
"Sur-Vet Hypodermic Needle, Translucent Hub, Thin Wall, Orange, 25g x 5/8""",Administration and Transfusion,Syringes and Needles,2,box,04/21/2026 20:14:14,7.88,15.76
"Sur-Vet Surflo ETFE IV Catheter, Blue, 22g x 1.0""",Administration and Transfusion,IV Catheters and Plugs,26,each,04/06/2026 19:47:13,1.27,33.02
"Sur-Vet Surflo ETFE IV Catheter, Pink, 20g x 1.0""",Administration and Transfusion,IV Catheters and Plugs,30,each,04/21/2026 20:15:14,1.37,41.10
Suture OneGut Chromic Gut #0 Catgut 50m Cassette:CASS,,,0.95,order unit,04/21/2026 20:17:40,67.27,63.91
"Synotic Otic Solution for Dogs, 60mL",Pharmaceuticals,Otic Preparations,0.75,bottle,04/06/2026 20:24:19,86.40,64.80
"Synthetic Absorbable Suture: SutureVet Monosorb, 4-0, FS-2, 30"", 12 Count",Wound Closure,Synthetic Absorbable Suture,0.92,box,03/30/2026 14:59:03,84.09,77.36
Syr Ter 60cc Cath Tip:B25,,,0.9,order unit,04/06/2026 19:45:22,27.05,24.35
"Syringe (Soft Pack): Sterile, 10ml, Luer Lock, 100 Count",Administration and Transfusion,Syringes and Needles,0.2,box,04/21/2026 20:42:21,25.84,5.17
"Syringe (Soft Pack): Sterile, 5ml, Luer Lock, 100 Count",Administration and Transfusion,Syringes and Needles,0.9,box,04/06/2026 19:45:30,23.11,20.80
"Syringe(Soft Pack): Sterile, 20ml, Luer Lock, 50 Count",Administration and Transfusion,Syringes and Needles,0.2,box,11/14/2025 19:51:00,35.59,7.12
"TB Syringe with Needle(Soft Pack): Sterile, 1ml, Luer Slip, 25g x 5/8"", 100 Count",Administration and Transfusion,Syringes and Needles,2.25,Pack,04/21/2026 20:14:27,20.40,45.90
"Temaril-P (Trimeprazine with Prednisolone) Tablets for Dogs, 100 Count",Pharmaceuticals,Antitussives,0.17,bottle,04/21/2026 20:36:29,94.20,16.01
"Terramycin Ophthalmic Ointment: 3.5g, 1 Count",Pharmaceuticals,Ophth Preps and Treatments,0,tube,04/06/2026 20:22:58,18.40,0.00
"ThunderEase Diffuser Kit: 30 day Refill, Each",Animal Handling and Restraints,Behavior Modification,0,each,11/14/2025 19:26:35,19.19,0.00
Thyro Tabs Canine 0.8mg:B1000,,,0.9,bottle,04/06/2026 20:24:35,112.21,100.99
"Thyro-Tabs Canine (Levothyroxine Sodium Tablets) 0.3mg, 1000 Count",Pharmaceuticals,Hormones and Analogs,0.03,bottle,04/21/2026 20:03:05,54.41,1.63
"Thyro-Tabs Canine (Levothyroxine Sodium Tablets) 0.5mg, 1000 Count",,,0.72,bottle,04/21/2026 19:58:08,84.83,61.08
"Thyro-Tabs Canine: 0.1mg, 1000 Count",Pharmaceuticals,Hormones and Analogs,0.4,bottle,11/21/2025 19:30:43,27.94,11.18
"Thyro-Tabs Canine: 0.2mg, 1000 Count",Pharmaceuticals,Hormones and Analogs,0.49,bottle,03/30/2026 15:30:51,40.99,20.09
"Thyro-Tabs Canine: 0.4mg, 1000 Count",Pharmaceuticals,Hormones and Analogs,0.55,bottle,04/06/2026 20:24:44,69.61,38.29
"Thyro-Tabs Canine: 0.6mg, 1000 Count",Pharmaceuticals,Hormones and Analogs,0.62,bottle,04/21/2026 20:03:47,93.56,58.01
"Thyro-Tabs Canine: 0.7mg, 1000 Count",Pharmaceuticals,Hormones and Analogs,0.84,bottle,12/15/2025 17:21:50,102.80,86.35
Tobramycin Ophthalmic Solution: 5Ml (0.3%),Pharmaceuticals,Antimicrobial Agents,2,bottle,04/21/2026 20:02:02,7.10,14.20
"Tongue Depressor: 6"", 500 Count",Dentistry,Oral Specula,0.8,box,12/04/2025 16:09:20,6.20,4.96
"Trazodone Tablets: 100Mg, 100 Count",Pharmaceuticals,Behavior Modification Drugs,3.81,bottle,04/21/2026 20:02:17,5.76,21.95
"Trazodone Tablets: 50Mg, 100 Count",Pharmaceuticals,Behavior Modification Drugs,0.87,bottle,03/30/2026 15:13:24,3.32,2.89
"Tresaderm® Solution: 7.5ml, 12 Count",Pharmaceuticals,Dermatologic Preparations,0.42,box,04/21/2026 20:07:43,155.56,65.34
"TrizChlor 4 Shampoo, 16 oz",Pharmaceuticals,Dermatologic Preparations,3,bottle,04/21/2026 20:09:50,20.73,62.19
TrizEDTA Aqueous Flush:16oz,Pharmaceuticals,Otic Cleansers/Drying Agent,1,bottle,03/10/2026 16:28:38,24.17,24.17
"TrizUltra + Keto Flush, 12oz",Pharmaceuticals,Otic Cleansers/Drying Agent,3,bottle,04/21/2026 19:58:14,20.28,60.84
Tylosin Soluble Powder Jar: 100g,Pharmaceuticals,Antidiarrheals,1.25,jar,12/04/2025 16:14:19,40.34,50.43
"Ultra Thin Wall Needle: 22g x 1.5"", 100 Count",,,N/A,box,,9.87,
Ultrasound Transmission Gel: 5 Liters,,,1,each,04/06/2026 19:45:48,22.18,22.18
"Unilimb Breathing Circuit: 40"", F Style, 1 Each",Anesthesia,Breathing Circuit Bg Mask Hose,1,each,03/10/2026 16:45:38,23.54,23.54
"UpCard-CA1 (Torsemide) Oral Solution for Dogs: 2mg/mL, 32mL",Pharmaceuticals,Cardiovascular Drugs,0,order unit,03/23/2026 16:33:24,18.89,0.00
Varenzin-CA1 Oral Suspension: 27 mL Bottle x 1 Count,Pharmaceuticals,PHA - Not Applicable,1,bottle,01/05/2026 20:36:20,35.00,35.00
Veraflox Oral Suspension 2.5% 15ml:P6,,,0.5,case,04/21/2026 20:04:08,173.70,86.85
"Vet-Kem Yard Spray, 32oz",Parasiticides,Premise,0.25,bottle,03/30/2026 15:46:51,17.46,4.37
"Vetmedin Solution (pimobendan oral solution), 50 mL",Pharmaceuticals,Cardiovascular Drugs,0,bottle,03/30/2026 15:27:34,46.00,0.00
"Vetmedin® Chewable Tablets: 1.25mg, 50 Count",Pharmaceuticals,Cardiovascular Drugs,2,bottle,04/21/2026 19:58:19,33.53,67.06
"Vetmedin® Chewable Tablets: 10mg, 50 Count",Pharmaceuticals,Cardiovascular Drugs,1,bottle,03/30/2026 15:29:13,92.82,92.82
"Vetmedin® Chewable Tablets: 2.5mg, 50 Count",Pharmaceuticals,Cardiovascular Drugs,0,bottle,04/21/2026 19:58:22,53.51,0.00
"VetPack Monoject Syringe with Needle (Rigid): 3ml, Luer Lock, 22g x 3/4"", 100 Count",Administration and Transfusion,Syringes and Needles,6,box,03/30/2026 15:00:12,18.94,113.64
"VetriJec Insulin Syringe U-40, 0.3cc Low Dose, 29g x 0.5""",Administration and Transfusion,Syringes and Needles,0,box,03/23/2026 19:18:10,15.56,0.00
Vetri-Lysine Plus Soft Chew: 120 Count,Nutraceuticals,Immune Support,1,bag,04/06/2026 20:11:38,13.15,13.15
Vetscan CPL Rapid Test Kit: 10 Count,Diagnostics,Laboratory Analysis,0.3,box,04/21/2026 20:44:05,350.00,105.00
VetScan FeLV/FIV Rapid Test: 10 Count,Diagnostics,Diagnostic Aids - Clinical,0.9,box,04/06/2026 19:44:29,208.95,188.06
Vetscan Imagyst Ova Oocysts: 40 Tests,Diagnostics Laboratory,Fecal Tests,0.2,box,01/29/2026 21:27:03,560.00,112.00
Vetscan UA10 Test Strips: 50 Count,Diagnostics Laboratory,"Test Strips, Readers, pH Paper",0.5,bottle,11/14/2025 19:31:56,85.95,42.98
Vetscan UA14 Test Strips: 25 Count,Diagnostics Laboratory,"Test Strips, Readers, pH Paper",0.04,bottle,04/21/2026 20:43:58,169.80,6.79
Vetspon Flex Sheet: 6 Sheets x 1 count,Wound Care and White Goods,Tissue Adhes Hmstat Lqud Band,1.33,box,11/14/2025 19:38:48,92.07,122.45
"Vetsulin: U-40, 10ml",Pharmaceuticals,Hormones and Analogs,1,vial,04/21/2026 20:15:49,41.29,41.29
Vincristine Sulfate Injectable: 2Ml (1Mg/Ml),Human Generics,Chemotherapy Agents,0,vial,11/14/2025 19:49:42,16.75,0.00
"Viralys Oral Powder for Cats, L-Lysine Supplement, 100gm",Nutraceuticals,Immune Support,0,each,04/06/2026 20:11:43,22.43,0.00
"Virbantel for Medium and Large Dogs 25.1 to 200 Pounds, 50 Flavored Chewables",Parasiticides,Anthelmintics,0.12,bottle,04/21/2026 20:39:02,509.39,61.13
"VIRBANTEL® (pyrantel pamoate/ praziquantel) Flavored Chewables for Small Dogs: 30 mg, 50 Count",Parasiticides,Anthelmintics,0.64,bottle,03/23/2026 16:33:32,204.17,130.67
Visbiome Vet High Potency Probiotic Capsules:B40,,,0,box,03/30/2026 15:09:30,29.88,0.00
Vitamin B Complex Inj - High Potency:100CC,,,0,bottle,03/10/2026 16:38:52,7.27,0.00
Vitamin B12 Injection: 100ml (1000mcg/ml),Pharmaceuticals,"Vitamins, Minerals, and Supplements",0.95,vial,01/15/2026 20:58:43,6.51,6.18
Vitamin C Injection: 100ml (250mg/ml),Pharmaceuticals,"Vitamins, Minerals, and Supplements",1,order unit,01/29/2026 20:59:20,5.28,5.28
Vitamin K Injection: 100ml (10mg/ml),Pharmaceuticals,"Vitamins, Minerals, and Supplements",0.95,vial,01/15/2026 20:58:51,17.77,16.88
"Vitamin K-1 Chewable Tablets, Beef Flavor, 25mg, 50 Count ",,,0.84,bottle,03/23/2026 16:27:32,11.94,10.03
"Vitamin K-1 Chewable Tablets, Beef Flavor, 50mg, 50 Count ",,,0.6,bottle,03/30/2026 15:27:48,20.41,12.25
VS IMAGYST URINE SEDIMENT (40 tests),Diagnostics Laboratory,"Test Strips, Readers, pH Paper",0.5,box,04/06/2026 19:44:50,0.00,0.00
VS OPTICELL CONSUMABLE KIT (50 TESTS),Diagnostics Laboratory,Analyzers: Chemistry,0.64,Pack,04/21/2026 20:11:36,747.50,478.40
VS2 Disposable Pipette Tips: 96 Count,Diagnostics Laboratory,Reagents/Accessories-Chemistry,0.5,package,03/30/2026 14:58:18,6.50,3.25
"VS2 Rotors: Comprehensive Diagnostic Profile, 12 Count",Diagnostics Laboratory,Reagents/Accessories-Chemistry,0.92,box,04/21/2026 20:07:48,468.00,430.56
"VS2 Rotors: Kidney Profile Plus, 12 Count",Diagnostics Laboratory,Reagents/Accessories-Chemistry,0.17,box,04/21/2026 20:07:51,299.95,50.99
"VS2 Rotors: Mammalian Liver Profile, 12 Count",Diagnostics Laboratory,Reagents/Accessories-Chemistry,0.33,box,04/21/2026 20:07:55,333.20,109.96
"VS2 Rotors: Prep Profile II, 12 Count",Diagnostics Laboratory,Reagents/Accessories-Chemistry,1.17,box,04/06/2026 20:14:32,348.55,407.80
"VS2 Rotors: T4/Cholesterol, 12 Count",Diagnostics Laboratory,Reagents/Accessories-Chemistry,0,box,01/05/2026 20:46:13,315.40,0.00
"WebMax Suture: 0, CP-2, 30"", 12 Count",Wound Closure,Synthetic Absorbable Suture,3,Pack,04/06/2026 19:43:41,85.98,257.94
"WebMax Sutures: D303, 30"" (RB1) - 12/Box",Wound Closure,Synthetic Absorbable Suture,0,box,02/26/2026 20:53:23,87.74,0.00
"WebMax Sutures: D421, 30"" (FS2) - 12/Box",Wound Closure,Synthetic Absorbable Suture,0.16,order unit,04/21/2026 20:24:49,89.86,14.38
YUCK! No Chew Spray: 8oz,Nutraceuticals,Behavior,0,order unit,01/15/2026 20:50:35,5.84,0.00
"Zetamine Ketamine HCl Injection, 10mL",Pharmaceuticals,Miscellaneous Pharmaceuticals,0.1,vial,04/21/2026 20:43:42,6.44,0.64
"Zorbium (Buprenorphine) Transdermal Solution for Cats 2.6 to 6.6 Pounds, Opioid Analgesic, 0.4mL",Pharmaceuticals,Analgesics,1.1,box,04/21/2026 20:12:36,104.20,114.62
"Zorbium for Cats: 6.7-16.5 lbs., 1.0 mL, 1 Dose x 10 Count",Pharmaceuticals,Analgesics,0.6,box,04/06/2026 19:43:23,157.50,94.50
"Zycortal Suspension (Desoxycorticosterone Pivalate) Injectable, 4mL",Pharmaceuticals,Hormones and Analogs,1,vial,04/21/2026 20:15:20,163.66,163.66
"ZydaClin (Clindamycin) Oral Drops for Dogs and Cats, 20mL",Pharmaceuticals,Antimicrobial Agents,5,bottle,04/21/2026 20:02:23,2.96,14.80
