term_type,canonical_name,aliases,category,active,priority,confidence,metadata_json
medication,AX - CRI - Buprenorphine (mg/kg/hr),AX - CRI - Buprenorphine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Butorphanol (mg/kg/hr),AX - CRI - Butorphanol (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Dexmedetomidine (mcg/kg/hr),AX - CRI - Dexmedetomidine (mcg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Fentanyl (mg/kg/hr),AX - CRI - Fentanyl (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Fentanyl/Lidocaine/Ketamine (mg/kg/hr),AX - CRI - Fentanyl/Lidocaine/Ketamine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Fentanyl/Lidocaine/Ketamine (mL/hr),AX - CRI - Fentanyl/Lidocaine/Ketamine (mL/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Hydromorphone/Lidocaine/Ketamine (mg/kg/hr),AX - CRI - Hydromorphone/Lidocaine/Ketamine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Hydromorphone/Lidocaine/Ketamine (mL/hr),AX - CRI - Hydromorphone/Lidocaine/Ketamine (mL/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Lidocaine (mg/kg/hr),AX - CRI - Lidocaine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Morphine/Lidocaine/Ketamine (mg/kg/hr),AX - CRI - Morphine/Lidocaine/Ketamine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,AX - CRI - Morphine/Lidocaine/Ketamine (mL/hr),AX - CRI - Morphine/Lidocaine/Ketamine (mL/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Benzoyl Peroxide Gel 5% 45gm,Benzoyl Peroxide Gel 5% 45gm,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Bordetella Injectable Vaccine,Bordetella Injectable Vaccine,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Bordetella Intranasal Vaccine,Bordetella Intranasal Vaccine,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Bordetella Oral Vaccine,Bordetella Oral Vaccine,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,BotVax B Clostridium Bot. Type B 10ml,BotVax B Clostridium Bot. Type B 10ml,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
